,Date,Post count,Upvote Sum,Company,Open,Close,Volume,Returns
0,20-07-01,212,17198,AAPL,91.0,91.0,110737232,0.0
1,20-07-02,172,18516,AAPL,92.0,91.0,114041472,-0.011
2,20-07-06,170,9617,AAPL,92.0,93.0,118655648,0.011
3,20-07-07,300,19666,AAPL,94.0,93.0,112424456,-0.011
4,20-07-08,256,11261,AAPL,94.0,95.0,117091880,0.011
5,20-07-09,263,18116,AAPL,96.0,96.0,125642608,0.0
6,20-07-10,286,15810,AAPL,95.0,96.0,90257320,0.011
7,20-07-13,160,18535,AAPL,97.0,95.0,191649136,-0.021
8,20-07-14,160,8528,AAPL,95.0,97.0,170989360,0.021
9,20-07-15,184,11501,AAPL,99.0,98.0,153197936,-0.01
10,20-07-16,158,22996,AAPL,97.0,97.0,110577672,0.0
11,20-07-17,136,6440,AAPL,97.0,96.0,92186896,-0.01
12,20-07-20,170,17712,AAPL,96.0,98.0,90317904,0.021
13,20-07-21,137,13434,AAPL,99.0,97.0,103645840,-0.02
14,20-07-22,184,12079,AAPL,97.0,97.0,89001648,0.0
15,20-07-23,143,13099,AAPL,97.0,93.0,197004432,-0.041
16,20-07-24,118,20063,AAPL,91.0,93.0,185438864,0.022
17,20-07-27,145,10244,AAPL,94.0,95.0,121214192,0.011
18,20-07-28,141,13516,AAPL,94.0,93.0,103625504,-0.011
19,20-07-29,150,10075,AAPL,94.0,95.0,90329256,0.011
20,20-07-30,156,18520,AAPL,94.0,96.0,158130016,0.021
21,20-07-31,149,9805,AAPL,103.0,106.0,374295456,0.029
22,20-08-03,143,11399,AAPL,108.0,109.0,308151392,0.009
23,20-08-04,192,10543,AAPL,109.0,110.0,172792368,0.009
24,20-08-05,164,13467,AAPL,109.0,110.0,121991952,0.009
25,20-08-06,167,7693,AAPL,110.0,114.0,202428896,0.036
26,20-08-07,146,18042,AAPL,113.0,111.0,198045616,-0.018
27,20-08-10,154,15801,AAPL,113.0,113.0,212403424,0.0
28,20-08-11,167,13268,AAPL,112.0,109.0,187902368,-0.027
29,20-08-12,163,10717,AAPL,110.0,113.0,165944816,0.027
30,20-08-13,221,55908,AAPL,114.0,115.0,210082064,0.009
31,20-08-14,188,6781,AAPL,115.0,115.0,165565216,0.0
32,20-08-17,146,40968,AAPL,116.0,115.0,119561440,-0.009
33,20-08-18,169,8633,AAPL,114.0,116.0,105633536,0.018
34,20-08-19,157,13096,AAPL,116.0,116.0,145538016,0.0
35,20-08-20,193,13262,AAPL,116.0,118.0,126907184,0.017
36,20-08-21,184,22690,AAPL,119.0,124.0,338054656,0.042
37,20-08-24,156,13279,AAPL,129.0,126.0,345937760,-0.023
38,20-08-25,167,17018,AAPL,125.0,125.0,211495792,0.0
39,20-08-26,168,22944,AAPL,126.0,127.0,163022272,0.008
40,20-08-27,143,25886,AAPL,127.0,125.0,155552384,-0.016
41,20-08-28,141,31736,AAPL,126.0,125.0,187629920,-0.008
42,20-08-31,140,10270,AAPL,128.0,129.0,225702688,0.008
43,20-09-01,147,21746,AAPL,133.0,134.0,152470144,0.008
44,20-09-02,138,6174,AAPL,138.0,131.0,200118992,-0.051
45,20-09-03,114,12272,AAPL,127.0,121.0,257599648,-0.047
46,20-09-04,129,11810,AAPL,120.0,121.0,332607168,0.008
47,20-09-08,155,11563,AAPL,114.0,113.0,231366560,-0.009
48,20-09-09,153,15594,AAPL,117.0,117.0,176940448,0.0
49,20-09-10,110,3630,AAPL,120.0,113.0,182274384,-0.058
50,20-09-11,118,5109,AAPL,115.0,112.0,180860320,-0.026
51,20-09-14,123,13775,AAPL,115.0,115.0,140150080,0.0
52,20-09-15,243,26646,AAPL,118.0,116.0,184642032,-0.017
53,20-09-16,349,12486,AAPL,115.0,112.0,155026672,-0.026
54,20-09-17,212,9763,AAPL,110.0,110.0,178010976,0.0
55,20-09-18,182,1963,AAPL,110.0,107.0,287104896,-0.027
56,20-09-21,199,14617,AAPL,105.0,110.0,195713808,0.048
57,20-09-22,109,3483,AAPL,113.0,112.0,183055376,-0.009
58,20-09-23,178,9237,AAPL,112.0,107.0,150718672,-0.045
59,20-09-24,137,12648,AAPL,105.0,108.0,167743344,0.029
60,20-09-25,122,13658,AAPL,108.0,112.0,149981440,0.037
61,20-09-28,172,6627,AAPL,115.0,115.0,137672400,0.0
62,20-09-29,138,17734,AAPL,115.0,114.0,100060528,-0.009
63,20-09-30,83,2132,AAPL,114.0,116.0,142675184,0.018
