,Date,Post count,Upvote Sum
0,20-06-30,28,100
1,20-07-01,212,17198
2,20-07-02,172,18516
3,20-07-03,140,12210
4,20-07-04,189,16216
5,20-07-05,124,8797
6,20-07-06,170,9617
7,20-07-07,300,19666
8,20-07-08,256,11261
9,20-07-09,263,18116
10,20-07-10,286,15810
11,20-07-11,197,10674
12,20-07-12,119,8570
13,20-07-13,160,18535
14,20-07-14,160,8528
15,20-07-15,184,11501
16,20-07-16,158,22996
17,20-07-17,136,6440
18,20-07-18,152,10354
19,20-07-19,128,7805
20,20-07-20,170,17712
21,20-07-21,137,13434
22,20-07-22,184,12079
23,20-07-23,143,13099
24,20-07-24,118,20063
25,20-07-25,137,9761
26,20-07-26,121,12030
27,20-07-27,145,10244
28,20-07-28,141,13516
29,20-07-29,150,10075
30,20-07-30,156,18520
31,20-07-31,149,9805
32,20-08-01,161,13261
33,20-08-02,123,10542
34,20-08-03,143,11399
35,20-08-04,192,10543
36,20-08-05,164,13467
37,20-08-06,167,7693
38,20-08-07,146,18042
39,20-08-08,159,13378
40,20-08-09,128,4143
41,20-08-10,154,15801
42,20-08-11,167,13268
43,20-08-12,163,10717
44,20-08-13,221,55908
45,20-08-14,188,6781
46,20-08-15,177,12810
47,20-08-16,119,7783
48,20-08-17,146,40968
49,20-08-18,169,8633
50,20-08-19,157,13096
51,20-08-20,193,13262
52,20-08-21,184,22690
53,20-08-22,167,10257
54,20-08-23,143,9555
55,20-08-24,156,13279
56,20-08-25,167,17018
57,20-08-26,168,22944
58,20-08-27,143,25886
59,20-08-28,141,31736
60,20-08-29,151,7137
61,20-08-30,125,9450
62,20-08-31,140,10270
63,20-09-01,147,21746
64,20-09-02,138,6174
65,20-09-03,114,12272
66,20-09-04,129,11810
67,20-09-05,130,8287
68,20-09-06,110,6502
69,20-09-07,97,6994
70,20-09-08,155,11563
71,20-09-09,153,15594
72,20-09-10,110,3630
73,20-09-11,118,5109
74,20-09-12,135,20760
75,20-09-13,76,3741
76,20-09-14,123,13775
77,20-09-15,243,26646
78,20-09-16,349,12486
79,20-09-17,212,9763
80,20-09-18,182,1963
81,20-09-19,258,22940
82,20-09-20,205,9268
83,20-09-21,199,14617
84,20-09-22,109,3483
85,20-09-23,178,9237
86,20-09-24,137,12648
87,20-09-25,122,13658
88,20-09-26,178,9120
89,20-09-27,101,5282
90,20-09-28,172,6627
91,20-09-29,138,17734
92,20-09-30,83,2132
