,user,date,text,likes,company
0,Magic899,Mon Oct 26 00:15:42 +0000 2020,"Few more days ‘til a new month! 🥳 Let’s have a good week by tuning in with your @superteam899! Happy Monday, folks!… https://t.co/UxAhExrIdP",1,Facebook
1,SheRa_Resists,Mon Oct 26 00:15:56 +0000 2020,"RT @WorkingFamilies: Next up on our GOTV rally, we'll hear from NYC Public Advocate @JumaaneWilliams to get fired up for Election Day. Watc…",0,Facebook
2,FoustRebecca,Mon Oct 26 00:15:26 +0000 2020,RT @LSevick: Looking forward to reading with my fellow ⁦@Press53 poets⁩ ⁦@FoustRebecca⁩ and ⁦@MarilynAnnucci⁩ this Thursday night at 9pm!…,0,Facebook
3,sikandar1786,Mon Oct 26 00:15:21 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
4,Nuha47488115,Mon Oct 26 00:15:22 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
5,Muhamma68086372,Mon Oct 26 00:15:22 +0000 2020,RT @ImranKhanPTI: My letter to CEO Facebook Mark Zuckerberg to ban Islamophobia just as Facebook has banned questioning or criticising the…,0,Facebook
6,Mewlions14,Mon Oct 26 00:15:22 +0000 2020,"RT @MewSuppasit_KR: [ 2020.10.15 FB. childrenhospitalthailand ]

🔗https://t.co/CdKIrKF6RT

#MewSuppasit #MewSuppasitStudio
#MewSuppasit_KR…",0,Facebook
7,ThoKanchana,Mon Oct 26 00:15:23 +0000 2020,RT @ameofficialss: |c| 📍Facebook:babe_bb https://t.co/UdTYHVfCrL,0,Facebook
8,avogoldy,Mon Oct 26 00:15:24 +0000 2020,RT @rosemilk_fairy: Wall’s Thailand posted a new link for @winmetawin’s live tomorrow at 9pm on GMMTV’s FB page. Go like it and leave posit…,0,Facebook
9,harrysuke,Mon Oct 26 00:15:24 +0000 2020,"RT @AcidMelodies: Most Followed Korean Act on Facebook this week (Oct 18-24) :

#1 @BLACKPINK (+293,743)

Total : 12,367,706 followers",0,Facebook
10,MilsimSamurai00,Mon Oct 26 00:15:24 +0000 2020,Facebook is blocking this video. I wonder why?? Because you're not allowed to know the truth. That's why. Pure and… https://t.co/yup4kwQ6P9,0,Facebook
11,Rubab,Mon Oct 26 00:15:25 +0000 2020,@ImranGhazaliPK @ImranKhanPTI @Facebook @PakPMO Finally.. fingers crossed..,0,Facebook
12,jennykg77,Mon Oct 26 00:15:26 +0000 2020,RT @BrandonStraka: I was on stage today in NE speaking at a #WalkAway Rescue America Rally when the news came in that #WalkAway hit half a…,0,Facebook
13,utahbug,Mon Oct 26 00:15:30 +0000 2020,RT @nytimes: Facebook says it has removed hundreds of accounts with ties to the Epoch Media Group that featured profile pictures generated…,0,Facebook
