,Company,Open,Close,Volume,Date
0,FB,253.0,252.0,23134104,2020-08-03
1,FB,252.0,250.0,17183532,2020-08-04
2,FB,250.0,249.0,13088361,2020-08-05
3,FB,249.0,265.0,45241612,2020-08-06
4,FB,264.0,268.0,72766368,2020-08-07
5,FB,268.0,263.0,30248826,2020-08-10
6,FB,261.0,256.0,28238284,2020-08-11
7,FB,259.0,260.0,21428328,2020-08-12
8,FB,261.0,261.0,17373970,2020-08-13
9,FB,262.0,261.0,14792708,2020-08-14
10,FB,262.0,261.0,13351062,2020-08-17
11,FB,261.0,262.0,18690384,2020-08-18
12,FB,261.0,263.0,23291464,2020-08-19
13,FB,262.0,269.0,20299688,2020-08-20
14,FB,269.0,267.0,15538615,2020-08-21
15,FB,271.0,271.0,23685604,2020-08-24
16,FB,272.0,281.0,42127240,2020-08-25
17,FB,285.0,304.0,69015152,2020-08-26
18,FB,300.0,293.0,30301308,2020-08-27
19,FB,295.0,294.0,17172416,2020-08-28
20,FB,294.0,293.0,17345134,2020-08-31
0,AAPL,108.0,109.0,308151392,2020-08-03
1,AAPL,109.0,110.0,172792368,2020-08-04
2,AAPL,109.0,110.0,121991952,2020-08-05
3,AAPL,110.0,114.0,202428896,2020-08-06
4,AAPL,113.0,111.0,198045616,2020-08-07
5,AAPL,113.0,113.0,212403424,2020-08-10
6,AAPL,112.0,109.0,187902368,2020-08-11
7,AAPL,110.0,113.0,165944816,2020-08-12
8,AAPL,114.0,115.0,210082064,2020-08-13
9,AAPL,115.0,115.0,165565216,2020-08-14
10,AAPL,116.0,115.0,119561440,2020-08-17
11,AAPL,114.0,116.0,105633536,2020-08-18
12,AAPL,116.0,116.0,145538016,2020-08-19
13,AAPL,116.0,118.0,126907184,2020-08-20
14,AAPL,119.0,124.0,338054656,2020-08-21
15,AAPL,129.0,126.0,345937760,2020-08-24
16,AAPL,125.0,125.0,211495792,2020-08-25
17,AAPL,126.0,127.0,163022272,2020-08-26
18,AAPL,127.0,125.0,155552384,2020-08-27
19,AAPL,126.0,125.0,187629920,2020-08-28
20,AAPL,128.0,129.0,225702688,2020-08-31
0,AMZN,3181.0,3112.0,5074663,2020-08-03
1,AMZN,3101.0,3139.0,4694294,2020-08-04
2,AMZN,3144.0,3205.0,3930025,2020-08-05
3,AMZN,3194.0,3225.0,3940602,2020-08-06
4,AMZN,3224.0,3167.0,3936127,2020-08-07
5,AMZN,3170.0,3148.0,3167274,2020-08-10
6,AMZN,3113.0,3081.0,3718057,2020-08-11
7,AMZN,3108.0,3162.0,3527229,2020-08-12
8,AMZN,3183.0,3161.0,3149043,2020-08-13
9,AMZN,3178.0,3148.0,2751723,2020-08-14
10,AMZN,3173.0,3182.0,2691237,2020-08-17
11,AMZN,3212.0,3312.0,5345974,2020-08-18
12,AMZN,3303.0,3260.0,4185137,2020-08-19
13,AMZN,3252.0,3297.0,3332478,2020-08-20
14,AMZN,3295.0,3285.0,3575862,2020-08-21
15,AMZN,3310.0,3307.0,4666258,2020-08-24
16,AMZN,3295.0,3346.0,3992842,2020-08-25
17,AMZN,3351.0,3442.0,6508743,2020-08-26
18,AMZN,3450.0,3400.0,4264795,2020-08-27
19,AMZN,3423.0,3402.0,2896978,2020-08-28
20,AMZN,3409.0,3451.0,4185885,2020-08-31
0,NFLX,491.0,499.0,5876190,2020-08-03
1,NFLX,501.0,510.0,5607968,2020-08-04
2,NFLX,508.0,502.0,4313526,2020-08-05
3,NFLX,503.0,509.0,3725861,2020-08-06
4,NFLX,505.0,495.0,5910348,2020-08-07
5,NFLX,494.0,483.0,4691185,2020-08-10
6,NFLX,479.0,467.0,7329226,2020-08-11
7,NFLX,471.0,475.0,5441243,2020-08-12
8,NFLX,478.0,481.0,3008933,2020-08-13
9,NFLX,483.0,483.0,2943487,2020-08-14
10,NFLX,484.0,482.0,2423545,2020-08-17
11,NFLX,484.0,492.0,3505518,2020-08-18
12,NFLX,494.0,485.0,3156218,2020-08-19
13,NFLX,485.0,498.0,5132480,2020-08-20
14,NFLX,496.0,492.0,3921293,2020-08-21
15,NFLX,495.0,489.0,4762183,2020-08-24
16,NFLX,488.0,491.0,5727721,2020-08-25
17,NFLX,493.0,548.0,20373680,2020-08-26
18,NFLX,538.0,526.0,9062912,2020-08-27
19,NFLX,532.0,524.0,4417517,2020-08-28
20,NFLX,521.0,530.0,4941409,2020-08-31
0,GOOG,1487.0,1474.0,4660400,2020-08-03
1,GOOG,1477.0,1465.0,1903500,2020-08-04
2,GOOG,1469.0,1474.0,1979500,2020-08-05
3,GOOG,1472.0,1500.0,1995400,2020-08-06
4,GOOG,1500.0,1494.0,1576600,2020-08-07
5,GOOG,1487.0,1496.0,1289300,2020-08-10
6,GOOG,1492.0,1480.0,1454400,2020-08-11
7,GOOG,1486.0,1507.0,1437700,2020-08-12
8,GOOG,1510.0,1518.0,1455200,2020-08-13
9,GOOG,1516.0,1508.0,1354800,2020-08-14
10,GOOG,1515.0,1518.0,1378300,2020-08-17
11,GOOG,1526.0,1559.0,2027100,2020-08-18
12,GOOG,1553.0,1548.0,1660600,2020-08-19
13,GOOG,1543.0,1582.0,1706900,2020-08-20
14,GOOG,1577.0,1580.0,1446500,2020-08-21
15,GOOG,1594.0,1588.0,2819800,2020-08-24
16,GOOG,1582.0,1608.0,2247100,2020-08-25
17,GOOG,1608.0,1652.0,3993400,2020-08-26
18,GOOG,1654.0,1634.0,1861600,2020-08-27
19,GOOG,1633.0,1644.0,1499800,2020-08-28
20,GOOG,1648.0,1634.0,3646806,2020-08-31
